Complete NA Playstation Plus Master List by u/ABattleVet,913,Try restoring licenses to get DLC to unlock,,,Game Pass,,,,,,,,,,
Game,System,Tier,Status,Added,Removed,Months,Release,Age,Metacritic,User,Completion,Genre,Notes / Original System,PC Streaming,Local Multiplayer
Sea of Stars,PS5/PS4,Extra,Coming Soon,Aug 2023,,-0.85,Aug 2023,0.00,,,,RPG,,,
Dreams,PS4,Extra,Coming Soon,Aug 2023,Sep 2023,0.66,Feb 2020,3.50,89,8.7,3,Adventure,,,
Death's Door,PS5/PS4,Essential,Leaving Soon,Aug 2023,Sep 2023,1.12,Nov 2021,1.69,85,6.7,9,Action,,No,
PGA Tour 2K23,PS5/PS4,Essential,Leaving Soon,Aug 2023,Sep 2023,1.12,Oct 2022,0.81,76,5.4,16,Sports,,No,
Dreams,PS4,Essential,Leaving Soon,Aug 2023,Sep 2023,1.12,Feb 2020,3.46,89,8.7,3,Adventure,,No,
Dysmantle,PS5/PS4,Extra,Active,Jul 2023,,0.53,Jan 2022,1.49,84,7.6,33,Action,,,
Fast & Furious: Spy Racers Rise of SH1FT3R,PS5/PS4,Extra,Active,Jul 2023,,0.53,Nov 2021,1.70,52,7.0,2,Racing,,,
It Takes Two,PS5/PS4,Extra,Active,Jul 2023,,0.53,Mar 2021,2.31,89,8.9,14,Action,,,
My Little Pony: A Maretime Bay Adventure,PS5/PS4,Extra,Active,Jul 2023,,0.53,May 2022,1.14,40,8.0,2,Adventure,,,
Sniper Elite 5,PS5/PS4,Extra,Active,Jul 2023,,0.53,Mar 2022,1.31,77,6.1,10,Shooter,,No,
Snowrunner,PS5/PS4,Extra,Active,Jul 2023,,0.53,Apr 2020,3.22,81,7.1,93,Racing,,,
The Ascent,PS5/PS4,Extra,Active,Jul 2023,,0.53,Mar 2022,1.32,77,6.3,12,Action,,,
World War Z,PS5/PS4,Extra,Active,Jul 2023,,0.53,Apr 2019,4.26,67,6.3,8,Shooter,,No,
Circus Electrique,PS4,Extra,Active,Jul 2023,,0.53,Sep 2022,0.86,71,3.0,11,Strategy,,,
Dynasty Warriors 9,PS4,Extra,Active,Jul 2023,,0.53,Feb 2018,5.43,65,8.4,28,Action,,,
Melty Blood: Type Lumina,PS4,Extra,Active,Jul 2023,,0.53,Sep 2021,1.80,90,6.9,6,Action,,,
Monster Jam: Steel Titans,PS4,Extra,Active,Jul 2023,,0.53,Jun 2019,4.07,53,4.3,8,Racing,,,
